1171,International Conference on Pervasive Computing (Joined with UbiComp from 2013),PERVASIVE,CORE2014,A*,No,0805,1203,
1078,International Conference on Information Systems,ICIS,CORE2018,A*,Yes,0806,,
2085,ACM Conference on Digital Libraries ,JCDL,CORE2018,A*,No,0806,,
1709,Robotics: Science and Systems,RSS,CORE2018,A*,No,0801,,
623,IEEE Information Visualization Conference,IEEE InfoVis,CORE2020,A*,No,4608,,
986,International Conference on Data Engineering,ICDE,CORE2023,A*,Yes,4605,,
15,ACM Conference on Embedded Networked Sensor Systems,SENSYS,CORE2023,A*,Yes,4606,,
919,International Conference on Automated Planning and Scheduling,ICAPS,CORE2023,A*,Yes,4602,,
448,Empirical Methods in Natural Language Processing,EMNLP,CORE2023,A*,Yes,4602,,
2051,IEEE International Conference on Robotics and Automation,ICRA,CORE2023,A*,Yes,4602,,
1629,National Conference of the American Association for Artificial Intelligence,AAAI,CORE2023,A*,Yes,4602,4603,4611
922,"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",AAMAS,CORE2023,A*,Yes,4602,,
196,Association for Computational Linguistics,ACL,CORE2023,A*,Yes,4602,,
37,ACM Multimedia,ACMMM,CORE2023,A*,Yes,4603,,
279,Automated Software Engineering Conference,ASE,CORE2023,A*,Yes,4612,,
147,Architectural Support for Programming Languages and Operating Systems,ASPLOS,CORE2023,A*,Yes,4612,4606,
331,Computer Aided Verification,CAV,CORE2023,A*,Yes,4612,4613,
12,ACM Conference on Computer and Communications Security,CCS,CORE2023,A*,Yes,4604,,
1053,International Conference on Human Factors in Computing Systems,CHI,CORE2023,A*,Yes,4608,,
124,Conference on Learning Theory,COLT,CORE2023,A*,Yes,4611,4602,
94,Advances in Cryptology,CRYPTO,CORE2023,A*,Yes,4604,,
604,IEEE Conference on Computer Vision and Pattern Recognition,CVPR,CORE2023,A*,Yes,4603,,
14,ACM Conference on Economics and Computation,EC,CORE2023,A*,Yes,4602,4613,
479,European Conference on Computer Vision,ECCV,CORE2023,A*,Yes,4603,,
52,"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",FSE,CORE2023,A*,Yes,4612,,
1242,International Conference on the Theory and Application of Cryptographic Techniques,EuroCrypt,CORE2023,A*,Yes,4604,,
745,IEEE Symposium on Foundations of Computer Science,FOCS,CORE2023,A*,Yes,4613,,
1386,International Symposium on High Performance Computer Architecture,HPCA,CORE2023,A*,Yes,4606,,
